Tweet #,Angry,Bored,Excited,Fear,Happy,Negative,Neutral,Positive,Sad,Sarcastic
736,0.129127483,0.054777551,0.186189223,0.076185479,0.430406169,0.663,0.26,0.078,0.123314097,0.153123562
737,0.189670302,0.310033537,0.110843015,0.172389819,0.069845442,0.772,0.196,0.031,0.147217885,0.504302711
738,0.175465031,0.112782632,0.192796409,0.206780577,0.123906964,0.44,0.372,0.188,0.188268387,0.610918452
739,0.519063922,0.052116146,0.025814273,0.131718424,0.021713657,0.886,0.112,0.002,0.249573578,0.682366181
740,0.130432854,0.262971158,0.217311395,0.191103992,0.074936722,0.597,0.286,0.117,0.123243879,0.533408912
741,0.260286272,0.125943366,0.18314158,0.132662769,0.215599723,0.503,0.232,0.265,0.08236629,0.320243256
742,0.299742946,0.103791095,0.16356148,0.18747694,0.089082388,0.779,0.138,0.083,0.156345151,0.530360514
743,0.10931189,0.087300422,0.463985541,0.148898049,0.092879388,0.428,0.223,0.348,0.097624711,0.401795971
744,0.439213932,0.063684909,0.049406988,0.135569994,0.103519949,0.821,0.093,0.086,0.208604228,0.77038092
745,0.121496684,0.099319291,0.058325561,0.31396855,0.037404578,0.862,0.125,0.013,0.369485336,0.577006294
746,0.163635829,0.370128136,0.104050663,0.160534515,0.043866605,0.524,0.376,0.1,0.157784253,0.626618985
747,0.558449404,0.075148943,0.037360385,0.134438792,0.035770275,0.878,0.11,0.012,0.158832202,0.552571591
748,0.182780805,0.123852107,0.087359062,0.266977725,0.050631968,0.594,0.372,0.035,0.288398332,0.769484063
749,0.241585973,0.084977201,0.320864427,0.081163332,0.204692437,0.45,0.259,0.291,0.06671663,0.509255098
750,0.74733593,0.01541626,0.047315911,0.076701625,0.019604933,0.915,0.068,0.017,0.093625341,0.303217093
751,0.260286272,0.125943366,0.18314158,0.132662769,0.215599723,0.503,0.232,0.265,0.08236629,0.320243256
752,0.299742946,0.103791095,0.16356148,0.18747694,0.089082388,0.779,0.138,0.083,0.156345151,0.530360514
753,0.10931189,0.087300422,0.463985541,0.148898049,0.092879388,0.428,0.223,0.348,0.097624711,0.401795971
754,0.439213932,0.063684909,0.049406988,0.135569994,0.103519949,0.821,0.093,0.086,0.208604228,0.77038092
755,0.121496684,0.099319291,0.058325561,0.31396855,0.037404578,0.862,0.125,0.013,0.369485336,0.577006294
756,0.163635829,0.370128136,0.104050663,0.160534515,0.043866605,0.524,0.376,0.1,0.157784253,0.626618985
757,0.558449404,0.075148943,0.037360385,0.134438792,0.035770275,0.878,0.11,0.012,0.158832202,0.552571591
758,0.182780805,0.123852107,0.087359062,0.266977725,0.050631968,0.594,0.372,0.035,0.288398332,0.769484063
759,0.241585973,0.084977201,0.320864427,0.081163332,0.204692437,0.45,0.259,0.291,0.06671663,0.509255098
760,0.74733593,0.01541626,0.047315911,0.076701625,0.019604933,0.915,0.068,0.017,0.093625341,0.303217093
761,0.426676622,0.012028868,0.169677455,0.245560992,0.08502829,0.642,0.215,0.143,0.061027773,0.324225493
762,0.54406189,0.109622667,0.040137373,0.123372059,0.031405103,0.937,0.047,0.016,0.151400909,0.553224388
763,0.252127605,0.020823231,0.285970281,0.068668278,0.29190719,0.426,0.227,0.347,0.080503416,0.325190732
764,0.190588751,0.088761453,0.2205677,0.225433663,0.049808921,0.386,0.46,0.153,0.224839513,0.682014694
765,0.167824055,0.140741243,0.12242793,0.211788729,0.114144721,0.313,0.437,0.25,0.243073322,0.694169462
766,0.273904471,0.109609868,0.131324345,0.191747934,0.102638994,0.676,0.243,0.081,0.190774388,0.51005906
767,0.240842713,0.175777456,0.10458188,0.195554695,0.06279552,0.563,0.349,0.087,0.220447736,0.597551355
768,0.139063548,0.030868964,0.231318161,0.244105889,0.230760555,0.243,0.549,0.208,0.123882883,0.588288601
769,0.083846829,0.051279657,0.338141207,0.111429833,0.346817607,0.199,0.475,0.326,0.068484867,0.495250602
770,0.301776311,0.128486429,0.03141324,0.122328134,0.04793141,0.843,0.141,0.015,0.368064477,0.27073133
771,0.335480581,0.058932913,0.176252157,0.084233,0.229658118,0.596,0.316,0.088,0.11544323,0.486284613
772,0.17940003,0.066392836,0.222098916,0.208357558,0.128228686,0.292,0.361,0.347,0.195521974,0.527670067
773,0.18611016,0.046830447,0.17784529,0.283229714,0.081827227,0.598,0.251,0.151,0.224157163,0.626285067
774,0.437379154,0.128968803,0.077488903,0.143365422,0.04535797,0.914,0.069,0.017,0.167439749,0.586392665
775,0.123343303,0.134365947,0.223535701,0.108622125,0.347103416,0.129,0.67,0.201,0.063029508,0.394417094
776,0.348033021,0.026640806,0.068525495,0.217851456,0.092790272,0.712,0.196,0.092,0.246158951,0.518336816
777,0.114300503,0.256663822,0.14427927,0.264123539,0.042903053,0.261,0.563,0.176,0.177729814,0.553176451
778,0.639014895,0.028819151,0.035456509,0.101084644,0.029516198,0.968,0.028,0.004,0.166108604,0.456758833
779,0.312292759,0.238530109,0.055332138,0.161971178,0.025375182,0.676,0.292,0.031,0.206498635,0.725143129
780,0.184768978,0.083321889,0.105050577,0.11241727,0.130203124,0.44,0.333,0.227,0.384238163,0.547405049
781,0.27226879,0.083105538,0.120619152,0.186193032,0.074885314,0.634,0.307,0.058,0.262928174,0.532791534
782,0.267013091,0.18659169,0.102723281,0.161286973,0.044111326,0.85,0.13,0.02,0.238273638,0.696307205
783,0.148283229,0.205980425,0.132168256,0.148628269,0.132137238,0.543,0.411,0.047,0.232802583,0.549946767
784,0.081169049,0.012192703,0.19656194,0.101854523,0.276007035,0.078,0.439,0.483,0.33221475,0.320569708
785,0.096551708,0.127045858,0.131952216,0.290348996,0.140698489,0.341,0.267,0.392,0.213402732,0.546305187
786,0.077368246,0.042249943,0.407112367,0.071681795,0.261998424,0.432,0.317,0.251,0.139589225,0.228697819
787,0.270309931,0.253976286,0.082061875,0.168687646,0.060343043,0.72,0.238,0.042,0.164621219,0.641280241
788,0.223410569,0.060671081,0.20514585,0.230265131,0.061714358,0.666,0.258,0.076,0.218793013,0.659950297
789,0.416536625,0.104467856,0.040222602,0.142551195,0.042598929,0.743,0.156,0.1,0.253622793,0.651462216
790,0.142755548,0.104984913,0.199477265,0.183878724,0.199036903,0.467,0.33,0.203,0.169866648,0.563515522
791,0.105792617,0,0.19412562,0.180663162,0.373654778,0.195,0.521,0.284,0.145763823,0.421711818
792,0.452161265,0.072478199,0.028490227,0.151687939,0.023256476,0.918,0.079,0.002,0.271925895,0.534204776
793,0.420957543,0.162670082,0.113843798,0.117144445,0.057804153,0.735,0.189,0.076,0.127579979,0.57038363
794,0.257524755,0.129412839,0.166113932,0.201917791,0.106749571,0.124,0.376,0.499,0.138281112,0.616386481
795,0.318143967,0.075590412,0.296583251,0.089004213,0.144644274,0.85,0.101,0.049,0.076033884,0.434285776
796,0.113541142,0.118976647,0.115773267,0.364819621,0.050007997,0.602,0.323,0.075,0.236881327,0.59835076
797,0.674081124,0.092272691,0.026172716,0.052767332,0.05235921,0.957,0.037,0.006,0.102346928,0.679406747
798,0.418355516,0.089298362,0.143259528,0.131958195,0.085365474,0.836,0.109,0.055,0.131762926,0.48147507
799,0.570917308,0.022513659,0.127349062,0.096660632,0.072124749,0.886,0.081,0.033,0.110434591,0.465754583
800,0.360035786,0.101598306,0.156896193,0.119364083,0.038806353,0.751,0.182,0.067,0.223299279,0.660313168
801,0.169184211,0.064026793,0.175129199,0.179355793,0.189555623,0.687,0.148,0.165,0.222748381,0.694776703
802,0.23384095,0.329721182,0.095098551,0.132039802,0.064417981,0.751,0.182,0.068,0.144881534,0.595695323
803,0.359940483,0.078070874,0.170322471,0.137229611,0.060095537,0.758,0.157,0.085,0.194341024,0.622687441
804,0.276539467,0.099055313,0.137311747,0.197322371,0.116427341,0.762,0.192,0.046,0.173343762,0.619808803
805,0.411452723,0.270075535,0.058977485,0.082520688,0.034554205,0.949,0.045,0.006,0.142419364,0.640499639
806,0.452528514,0.185549482,0.040790801,0.106249717,0.034183312,0.955,0.034,0.011,0.180698175,0.731044817
807,0.291165939,0.066793897,0.344519427,0.10872241,0.098721407,0.819,0.129,0.051,0.09007692,0.421185731
808,0.144014408,0.116662488,0.117379061,0.397455559,0.048472322,0.636,0.283,0.081,0.176016162,0.624236788
809,0.271496788,0.259954603,0.075362288,0.140043228,0.053528893,0.974,0.021,0.005,0.199614201,0.699015343
810,0.21683548,0.06979343,0.138189644,0.186457848,0.14611897,0.346,0.543,0.111,0.242604628,0.539551387
811,0.233521715,0.130789205,0.286351735,0.100474374,0.12158779,0.519,0.293,0.188,0.127275181,0.196004754
812,0.05722929,0,0.160834626,0.198146046,0.47713588,0.077,0.293,0.63,0.106654159,0.834327482
813,0.375564891,0.095243356,0.091461409,0.141951742,0.08001809,0.781,0.159,0.059,0.215760512,0.581950006
814,0.292925122,0.028124266,0.042842044,0.482933686,0.015536873,0.916,0.064,0.02,0.137638009,0.324921029
815,0.267121817,0.142484277,0.142624298,0.177260732,0.097928115,0.681,0.226,0.094,0.172580761,0.538837943
816,0.136785017,0.082368811,0.263081239,0.235364317,0.164968325,0.067,0.518,0.415,0.11743229,0.399302551
817,0.054257325,0.029719962,0.333730994,0.223759215,0.243343164,0.148,0.321,0.531,0.11518934,0.472700048
818,0.03881926,0.032640554,0.141689623,0.118305054,0.360710273,0.1,0.599,0.301,0.307835235,0.229727936
819,0.525475304,0.036130515,0.089865034,0.091886984,0.109377212,0.837,0.132,0.03,0.147264952,0.584441512
820,0.54373282,0.086721605,0.094760565,0.098367267,0.057209579,0.838,0.117,0.046,0.119208163,0.556177811
821,0.243587782,0.240559097,0.097657407,0.132590197,0.08601735,0.861,0.113,0.025,0.199588168,0.714085801
822,0.229999429,0.091885315,0.194885732,0.228614776,0.115381228,0.198,0.602,0.2,0.139233522,0.429903249
823,0.149048883,0.084272305,0.263111188,0.22433892,0.130009029,0.195,0.508,0.298,0.149219675,0.510261862
824,0.371778104,0.197591398,0.048783746,0.123738294,0.020060032,0.917,0.068,0.015,0.238048426,0.709421046
825,0.317695566,0.127128283,0.133879695,0.21066091,0.043156367,0.95,0.037,0.013,0.16747918,0.496553895
826,0.188130457,0.041179544,0.086004279,0.292111141,0.052108804,0.957,0.036,0.006,0.340465776,0.586469698
827,0.087546385,0,0.037985432,0.140090138,0.070483456,0.403,0.42,0.178,0.663894589,0.258004673
828,0.368609194,0.262557426,0.098452051,0.072714545,0.119431399,0.68,0.263,0.056,0.078235385,0.668212709
829,0.757454227,0.012050153,0.024239696,0.099047928,0.015401575,0.921,0.065,0.013,0.091806422,0.345738113
830,0.102699786,0.023946678,0.064546017,0.216570531,0.069162609,0.304,0.475,0.22,0.523074379,0.441751238
831,0.354410606,0.14079283,0.12235327,0.116348974,0.145421926,0.742,0.168,0.089,0.120672394,0.691890584
832,0.440874489,0.023572194,0.194981075,0.122123582,0.139293441,0.188,0.621,0.191,0.07915522,0.306756562
833,0.111552802,0.039348257,0.304021015,0.310849447,0.143728474,0.261,0.355,0.384,0.090500005,0.464331888
834,0.458754597,0.241113775,0.052159184,0.081115858,0.033944549,0.854,0.122,0.024,0.132912038,0.710124599
835,0.144060272,0.083199522,0.184771687,0.175488432,0.258026287,0.35,0.477,0.173,0.1544538,0.564950204
836,0.250189159,0.076201328,0.087201444,0.243537927,0.109343934,0.842,0.106,0.052,0.233526208,0.433843106
837,0.328991424,0.050801567,0.161053767,0.175665141,0.130985663,0.509,0.323,0.168,0.152502438,0.515628543
838,0.096639604,0.498933651,0.053030844,0.179970416,0.026741004,0.261,0.706,0.033,0.144684482,0.622320175
839,0.355353869,0.080030488,0.09730574,0.169268488,0.080388469,0.914,0.07,0.016,0.217652946,0.644660833
840,0.181697918,0.213242514,0.143747014,0.210762001,0.07597718,0.403,0.44,0.157,0.174573374,0.543208661
841,0.159453805,0.054487521,0.318129391,0.13458861,0.289123239,0.249,0.388,0.363,0.044217435,0.503696892
842,0.62773464,0.095211012,0.059781404,0.049557929,0.057090859,0.935,0.05,0.015,0.110624156,0.554040317
843,0.124722768,0.013450409,0.327043629,0.178193702,0.299217245,0.243,0.316,0.441,0.057372246,0.435302315
844,0.324863469,0.081200427,0.078295601,0.242831461,0.054685419,0.507,0.394,0.1,0.218123623,0.575462064
845,0.580633217,0.167059276,0.037874376,0.063155848,0.030305806,0.924,0.063,0.012,0.120971477,0.589903828
846,0.224687031,0.082268656,0.151401255,0.314359593,0.112366917,0.611,0.294,0.094,0.114916549,0.536460088
847,0.335079871,0.18340221,0.097667608,0.133129295,0.07245986,0.863,0.11,0.027,0.178261157,0.651175174
848,0.216742569,0.029622422,0.021094402,0.366411514,0.009959044,0.851,0.129,0.02,0.35617005,0.62884923
849,0.257056944,0.067425057,0.138580565,0.213232693,0.156670161,0.221,0.354,0.425,0.16703458,0.497961001
850,0.46550867,0.125635072,0.041103529,0.099209698,0.031665058,0.973,0.022,0.005,0.236877972,0.714310364
851,0.548554537,0.066719829,0.110949479,0.124405164,0.058009788,0.743,0.224,0.033,0.091361203,0.465468532
852,0.161283185,0.063622426,0.283405124,0.127039311,0.214199049,0.333,0.363,0.304,0.150450904,0.528937491
853,0.350120482,0.166014227,0.079437559,0.1781059,0.043353798,0.71,0.27,0.02,0.182968034,0.645845194
854,0.176289684,0.160723866,0.230135471,0.196445654,0.062209575,0.487,0.325,0.188,0.174195749,0.610323584
855,0.301809667,0.163845621,0.138248766,0.174437756,0.049805651,0.751,0.182,0.067,0.171852541,0.61853646
856,0.117892623,0.026568107,0.050583349,0.175527058,0.06168842,0.438,0.39,0.171,0.567740444,0.433579893
857,0.117730224,0.060613268,0.240880064,0.046717147,0.47436044,0.335,0.249,0.415,0.059698858,0.426923767
858,0.340918115,0.088160332,0.196737041,0.148464073,0.121541916,0.86,0.106,0.034,0.104178523,0.626950489
859,0.137576823,0.037945177,0.165770021,0.121982147,0.215224303,0.216,0.61,0.174,0.32150153,0.321173958
860,0.364129326,0.055331871,0.166493897,0.098104586,0.184653239,0.638,0.234,0.128,0.131287081,0.547802229
861,0.192609361,0.039266971,0.212602443,0.183228983,0.189166706,0.354,0.39,0.256,0.183125535,0.450414673
862,0.195889965,0.05586738,0.268327941,0.189551298,0.206382899,0.27,0.333,0.398,0.083980518,0.333941176
863,0.454085377,0.219837061,0.053316224,0.082643915,0.040255447,0.95,0.039,0.011,0.149861975,0.46812795
864,0.20048071,0.206483092,0.214465911,0.107492134,0.186036468,0.71,0.217,0.073,0.085041685,0.785019501
865,0.300568423,0.058102339,0.233440562,0.182122936,0.108340587,0.723,0.174,0.103,0.117425153,0.489375372
866,0.454952511,0.114490069,0.085142643,0.12473672,0.084383111,0.558,0.321,0.12,0.136294946,0.391421003
867,0.191538912,0.073250186,0.136743849,0.196047123,0.064359489,0.85,0.116,0.035,0.338060441,0.458660614
868,0.228750908,0.123970968,0.143060122,0.256186527,0.094774437,0.598,0.316,0.086,0.153257038,0.588970548
869,0.520513574,0.014231215,0.150066106,0.114740042,0.110523761,0.704,0.205,0.091,0.089925303,0.238779901
870,0.283349199,0.05139006,0.123276988,0.219369994,0.073184098,0.846,0.119,0.035,0.249429662,0.67377601
