Tweet #,Angry,Bored,Excited,Fear,Happy,Negative,Neutral,Positive,Sad,Sarcastic
924,0.321414313,0.156166591,0.117368665,0.179241487,0.059807708,0.53,0.267,0.204,0.166001237,0.558622195
925,0.426964327,0.111198372,0.065866878,0.198598634,0.056871762,0.899,0.07,0.031,0.140500027,0.578666152
926,0.401348742,0.084134725,0.156300429,0.162091663,0.080435127,0.513,0.412,0.075,0.115689315,0.732155016
927,0.154694961,0.157549793,0.091766857,0.255345208,0.117753343,0.282,0.68,0.038,0.222889839,0.489887058
928,0.322047825,0.037037755,0.171152279,0.248989185,0.108191486,0.408,0.475,0.117,0.11258147,0.470293572
929,0.122424476,0.064597639,0.218498662,0.246412164,0.187289393,0.469,0.414,0.117,0.160777666,0.497073161
930,0.301689548,0.21884995,0.088498211,0.137674468,0.035242205,0.875,0.1,0.025,0.218045619,0.708507383
931,0.219159079,0.253879611,0.10068203,0.195088702,0.079249832,0.627,0.233,0.139,0.151940747,0.551148408
932,0.177992781,0.165589168,0.1546012,0.221747194,0.097496057,0.38,0.46,0.16,0.182573599,0.587611894
933,0.304167069,0.060876317,0.075241721,0.215761108,0.109670941,0.593,0.378,0.029,0.234282843,0.511520035
934,0.191574293,0.043945219,0.086667717,0.231940892,0.089707107,0.773,0.176,0.05,0.356164772,0.716839372
935,0.126648792,0.152056911,0.178892395,0.285681386,0.109704246,0.624,0.275,0.101,0.14701627,0.47127349
936,0.277448044,0.039842842,0.212522923,0.144383648,0.191418654,0.472,0.333,0.196,0.13438389,0.445058472
937,0.354008266,0.164285661,0.071321123,0.149182609,0.044237265,0.919,0.068,0.013,0.216965076,0.597045648
938,0.42068144,0.118559447,0.046767147,0.124074471,0.042540808,0.889,0.084,0.027,0.247376687,0.771671779
939,0.323536045,0.189777227,0.081789672,0.133921444,0.095456928,0.642,0.255,0.103,0.175518684,0.6451019
940,0.164649444,0.042802668,0.27277793,0.275666715,0.120904005,0.169,0.374,0.457,0.123199239,0.456006184
941,0.294900146,0.193539923,0.081926221,0.232229649,0.069344132,0.887,0.095,0.018,0.128059929,0.545130676
942,0.113770872,0.051128611,0.080217964,0.349954404,0.08684914,0.563,0.365,0.072,0.31807901,0.643435675
943,0.544576706,0.022635819,0.120878414,0.091026483,0.118498161,0.383,0.146,0.472,0.102384417,0.50769043
944,0.434444714,0.072096943,0.110600366,0.116821871,0.18326298,0.582,0.167,0.251,0.082773126,0.63252831
945,0.392827367,0.139867513,0.068621738,0.152598526,0.066935303,0.911,0.072,0.017,0.179149555,0.572447096
946,0.145391142,0.179084839,0.195130833,0.225089574,0.079485415,0.231,0.517,0.253,0.175818196,0.553722658
947,0.215684309,0.266379923,0.079975373,0.15819025,0.043542208,0.888,0.076,0.036,0.236227938,0.698151141
948,0.142734511,0.219875516,0.199798376,0.223190347,0.055770463,0.33,0.549,0.121,0.158630787,0.594402721
949,0.099208182,0.090573299,0.202831178,0.370371197,0.070495937,0.36,0.475,0.165,0.166520208,0.538395506
950,0.485589664,0.062979375,0.079869523,0.0875966,0.113940416,0.697,0.257,0.046,0.170024422,0.39352805
951,0.197967383,0.028796275,0.413173285,0.12251409,0.19824997,0.192,0.36,0.448,0.039298998,0.307043212
952,0.265026421,0.081064158,0.199600108,0.200971121,0.119407273,0.611,0.211,0.178,0.133930919,0.506160504
953,0.372319384,0.129274632,0.09411528,0.134045861,0.055904052,0.86,0.102,0.038,0.214340791,0.647036918
954,0.167331494,0.147981302,0.26398949,0.124335601,0.13954594,0.753,0.18,0.067,0.156816173,0.477722617
955,0.294141096,0.058275543,0.145130435,0.131330254,0.248374436,0.726,0.163,0.11,0.122748236,0.466635369
956,0.257215761,0.201534305,0.214416118,0.142752437,0.123128219,0.582,0.327,0.091,0.06095316,0.516162509
957,0.454458241,0.083984763,0.057651753,0.160920373,0.027288347,0.877,0.104,0.018,0.215696523,0.605193061
958,0.476835242,0.098785886,0.109436599,0.118115194,0.040183026,0.903,0.075,0.022,0.156644052,0.604047519
959,0.25137261,0.054011813,0.125511642,0.195841226,0.168339486,0.656,0.219,0.125,0.204923224,0.540505761
960,0.49617231,0.059713568,0.07983737,0.15165859,0.039582503,0.761,0.196,0.043,0.173035661,0.676640309
961,0.214501942,0.079581433,0.26356094,0.166662869,0.176185154,0.331,0.407,0.262,0.099507661,0.380462374
962,0.094170933,0.040084719,0.232979939,0.280104874,0.227313428,0.424,0.441,0.134,0.125346106,0.573288275
963,0.064955384,0,0.396563825,0.089272526,0.352117579,0.056,0.224,0.72,0.097090686,0.284042659
964,0.405842439,0.159963314,0.112236573,0.089511277,0.154142736,0.604,0.365,0.031,0.078303661,0.504605894
965,0.300967387,0.0891368,0.126815709,0.16771249,0.124867341,0.546,0.223,0.231,0.190500274,0.750510711
966,0.40833838,0.018891101,0.363357231,0.07362932,0.100626683,0.728,0.153,0.119,0.035157285,0.323730798
967,0.161568599,0.05607388,0.149056136,0.317666929,0.078346315,0.466,0.369,0.165,0.237288141,0.533385813
968,0.069270447,0.036952349,0.162725376,0.504404043,0.147368184,0.235,0.669,0.097,0.079279602,0.590811282
969,0.500190273,0.086610675,0.059012897,0.130891763,0.033322971,0.909,0.081,0.011,0.189971421,0.62729625
970,0.29054824,0.066978519,0.127318009,0.226964091,0.098089752,0.494,0.42,0.086,0.190101389,0.483698763
971,0.142261529,0.166153854,0.118101941,0.265714166,0.084566668,0.583,0.271,0.146,0.223201843,0.588614441
972,0.449986011,0.131831015,0.066807681,0.104152052,0.037066048,0.959,0.038,0.003,0.210157194,0.671491306
973,0.183464574,0.070229459,0.191681371,0.154045779,0.213811507,0.614,0.192,0.194,0.18676731,0.507959136
974,0.168124895,0,0.195536882,0.232354224,0.232105042,0.253,0.539,0.208,0.171878957,0.609058733
975,0.373023789,0.132146216,0.149190967,0.099499103,0.164223115,0.431,0.371,0.197,0.081916811,0.345614737
976,0.458953145,0.057358178,0.080470661,0.184442464,0.041079234,0.846,0.13,0.024,0.177696318,0.534278084
977,0.109573469,0,0.265563542,0.117346011,0.417289273,0.207,0.155,0.638,0.090227706,0.396115516
978,0.268372664,0.080476248,0.209667739,0.182679814,0.115935897,0.229,0.507,0.265,0.142867639,0.430210755
979,0.079183927,0.02116434,0.094135461,0.088413822,0.275107062,0.714,0.249,0.037,0.441995388,0.158859516
980,0.264857092,0.131002335,0.117968958,0.194442329,0.06358468,0.704,0.242,0.054,0.228144608,0.662103834
981,0.194380065,0.19448077,0.106099789,0.213341158,0.066187941,0.416,0.501,0.084,0.225510277,0.66347169
982,0.344923949,0.053270639,0.112146906,0.186651814,0.094441539,0.714,0.176,0.11,0.208565152,0.538194442
983,0.190172814,0.056241175,0.27088937,0.153035765,0.154286161,0.42,0.425,0.156,0.175374714,0.496364842
984,0.247012704,0.256357401,0.0749879,0.170854642,0.064379157,0.78,0.166,0.053,0.186408195,0.613365161
985,0.261745352,0,0.234018894,0.109783531,0.217727152,0.466,0.383,0.151,0.176725072,0.27414702
986,0.089921277,0.060542774,0.048254026,0.251931333,0.083779311,0.929,0.058,0.013,0.465571279,0.369730908
987,0.299309567,0.040042845,0.113813956,0.158572754,0.130728473,0.85,0.099,0.051,0.257532405,0.442644296
988,0.271631602,0.166746321,0.117505739,0.164662894,0.071272454,0.8,0.148,0.052,0.208180991,0.60249925
989,0.195883699,0.071520795,0.16629812,0.242190786,0.171085173,0.373,0.552,0.075,0.153021428,0.536300258
990,0.110913535,0.087567004,0.245879439,0.277751532,0.131524029,0.294,0.335,0.371,0.146364461,0.50157424
991,0.12303597,0,0.322459784,0.138970864,0.264591961,0.079,0.52,0.401,0.150941421,0.251747326
992,0.242518051,0.181393161,0.153564513,0.150793249,0.135304301,0.623,0.291,0.086,0.136426725,0.51086624
993,0.439041752,0.063919006,0.085622453,0.20001774,0.054396772,0.558,0.342,0.1,0.157002278,0.579503985
994,0.138939678,0.097101015,0.089502158,0.253230475,0.095147802,0.286,0.704,0.011,0.326078872,0.561345938
995,0.355859658,0.075103021,0.150354375,0.104185441,0.076712231,0.937,0.045,0.018,0.237785274,0.398123731
996,0.186730955,0.141838927,0.167029744,0.161215233,0.137123277,0.753,0.159,0.088,0.206061865,0.529062927
997,0.485550049,0.066074369,0.112360885,0.140193904,0.053209537,0.894,0.086,0.02,0.142611256,0.504923872
998,0.424617069,0.045194523,0.049325459,0.14434615,0.069184874,0.916,0.058,0.026,0.267331925,0.568847427
999,0.619691244,0.085610899,0.038511757,0.080839386,0.027474014,0.908,0.086,0.005,0.1478727,0.68068999
1000,0.109129898,0.180313129,0.212881143,0.274727804,0.077498514,0.165,0.584,0.251,0.145449513,0.506800384
1001,0.412062692,0.096665402,0.13807179,0.106055432,0.086540847,0.844,0.11,0.046,0.160603839,0.547307587
1002,0.263037211,0.063706127,0.033357531,0.47826009,0.034809434,0.948,0.048,0.004,0.126829608,0.429006538
1003,0.251181927,0.30566875,0.067654048,0.177359479,0.033567398,0.909,0.083,0.008,0.164568397,0.65470677
1004,0.419443757,0.096602441,0.102887537,0.177826107,0.087173082,0.682,0.226,0.092,0.116067076,0.500760145
1005,0.254252919,0.299630219,0.049886179,0.194683564,0.03219606,0.391,0.303,0.306,0.169351059,0.735223883
1006,0.121535795,0.116861928,0.090005628,0.303372833,0.031005174,0.595,0.335,0.07,0.337218642,0.525074498
1007,0.156349684,0.105961274,0.225508272,0.229609354,0.111119849,0.707,0.197,0.096,0.171451567,0.556598756
1008,0.176974701,0.061744195,0.104175022,0.322010654,0.023928532,0.604,0.277,0.119,0.311166896,0.740417743
1009,0.234362124,0.170913879,0.120379564,0.20495192,0.101038769,0.397,0.46,0.144,0.168353744,0.674217257
1010,0.61487998,0.011291231,0.151916041,0.097914593,0.053299189,0.907,0.069,0.025,0.070698966,0.285784096
1011,0.282772886,0.217880332,0.08857438,0.176899614,0.057062707,0.681,0.262,0.057,0.176810081,0.581968372
1012,0.188535385,0.272146427,0.081663264,0.186265712,0.055085127,0.605,0.308,0.087,0.216304085,0.683075198
1013,0.305192533,0.060435654,0.143273274,0.226638298,0.086367655,0.357,0.417,0.225,0.178092587,0.45690772
1014,0.207630194,0.085390756,0.254261854,0.191450461,0.055846344,0.538,0.321,0.14,0.205420392,0.501873739
1015,0.49697079,0.169559664,0.065653125,0.083943633,0.056734035,0.963,0.033,0.004,0.127138754,0.638545053
1016,0.368585561,0.134940431,0.136530058,0.125335372,0.131234751,0.823,0.139,0.038,0.103373828,0.482565869
1017,0.114255456,0.083557584,0.107156228,0.408425724,0.035904999,0.294,0.683,0.024,0.25070001,0.623192158
1018,0.319261257,0.095416035,0.065530724,0.241655004,0.042890614,0.966,0.03,0.004,0.235246366,0.568633991
1019,0.250382982,0,0.355593708,0.06785965,0.276570624,0.282,0.299,0.42,0.049593036,0.294214676
1020,0.476607974,0.056902806,0.049733033,0.130087738,0.048630806,0.963,0.031,0.006,0.238037644,0.534364555
1021,0.290913043,0.078820789,0.169460567,0.229928039,0.077893257,0.223,0.497,0.28,0.152984305,0.51614522
1022,0.283978771,0.051603877,0.168463797,0.174922824,0.183222764,0.477,0.379,0.145,0.137807968,0.6249991
1023,0.246601518,0.087898197,0.195073565,0.179688479,0.189547882,0.499,0.218,0.284,0.101190359,0.429170799
1024,0.316050036,0.126173454,0.074803152,0.187822619,0.059218073,0.888,0.092,0.02,0.235932667,0.755657524
1025,0.267037948,0.144347199,0.115033379,0.229157313,0.080204978,0.449,0.351,0.2,0.164219183,0.644224684
1026,0.276699706,0.089035683,0.157917941,0.115770193,0.241222627,0.391,0.475,0.134,0.11935385,0.611126897
1027,0.091704621,0.063906303,0.239502363,0.205453686,0.272007786,0.244,0.347,0.41,0.127425241,0.308186295
1028,0.266158881,0,0.261323463,0.139502955,0.21427098,0.132,0.363,0.505,0.118743721,0.436374892
1029,0.507640299,0.146256697,0.028525218,0.14491728,0.013431835,0.983,0.016,0.001,0.159228672,0.642384296
1030,0.167210362,0.283016003,0.080466624,0.228547506,0.083561011,0.453,0.47,0.077,0.157198494,0.597316669
1031,0.341094494,0.023236856,0.135148512,0.084670931,0.321973967,0.326,0.165,0.509,0.09387524,0.381706061
1032,0.303799277,0.160311482,0.07803025,0.178381086,0.070344574,0.624,0.27,0.106,0.209133331,0.625300083
1033,0.26770381,0,0.121335745,0.239901126,0.130488926,0.765,0.174,0.062,0.240570393,0.487622596
1034,0.271530439,0.151671664,0.16595997,0.183205773,0.04916624,0.686,0.24,0.074,0.178465915,0.627338353
1035,0.207355696,0.299762234,0.102657477,0.121376312,0.052127833,0.809,0.133,0.058,0.216720449,0.722992816
1036,0.598735633,0.024962788,0.041099533,0.190513409,0.025985094,0.926,0.064,0.01,0.118703542,0.487598624
1037,0.190338747,0.107736174,0.194634283,0.157133838,0.19402048,0.304,0.401,0.294,0.156136478,0.615233315
1038,0.292340863,0.137980905,0.12822108,0.188064529,0.073216639,0.855,0.111,0.034,0.180175984,0.648699667
1039,0.096824498,0.084633617,0.24573023,0.26945445,0.195504783,0.046,0.562,0.392,0.107852422,0.416201823
1040,0.146139242,0.080604692,0.326450981,0.193541115,0.147483098,0.072,0.42,0.508,0.105780872,0.359540588
1041,0.171904423,0.030375124,0.078692828,0.216776507,0.062713498,0.846,0.124,0.031,0.439537619,0.437693057
1042,0.378563366,0.103447548,0.115454942,0.170558133,0.060738006,0.906,0.085,0.009,0.171238006,0.628209376
1043,0.139983211,0.029268991,0.293398417,0.158644695,0.303580801,0.03,0.319,0.651,0.075123885,0.278157834
1044,0.259225264,0.057219451,0.257444579,0.109605954,0.168435197,0.567,0.335,0.097,0.148069555,0.372472341
1045,0.197934341,0.170878853,0.121298541,0.244584613,0.042742396,0.681,0.252,0.068,0.222561257,0.619662234
1046,0.285430221,0.166091577,0.142481849,0.155591941,0.136449419,0.383,0.467,0.149,0.113954994,0.602519245
1047,0.1161195,0.05794133,0.241669634,0.177655057,0.315599611,0.519,0.285,0.196,0.09101487,0.492141223
1048,0.29091009,0.089474699,0.146769088,0.183239905,0.112001095,0.663,0.272,0.065,0.177605124,0.449583102
1049,0.181634349,0.121708201,0.209546753,0.259623007,0.064072042,0.465,0.277,0.258,0.16341565,0.490717827
1050,0.092846882,0.094702945,0.271417039,0.279434088,0.097415819,0.193,0.534,0.273,0.164183227,0.452034866
1051,0.222624958,0.027366469,0.083876815,0.211854657,0.097779106,0.722,0.224,0.054,0.356497995,0.355497397
1052,0.493989825,0.074753301,0.049691545,0.175369901,0.037114782,0.793,0.162,0.045,0.169080647,0.507723287
1053,0.139055014,0.114711805,0.171904638,0.193651124,0.220341542,0.699,0.176,0.125,0.160335877,0.607182159
1054,0.197975438,0.038989104,0.23214276,0.166347106,0.263212095,0.106,0.352,0.541,0.101333497,0.290281396
1055,0.122395396,0.124386202,0.214087418,0.248776936,0.112584864,0.165,0.52,0.315,0.177769185,0.529808767
1056,0.199588317,0.244030729,0.08699854,0.184804535,0.07710986,0.874,0.116,0.011,0.207468019,0.433074649
1057,0.222398683,0.116032465,0.143353636,0.265223114,0.083032762,0.789,0.191,0.021,0.169959341,0.524532195
1058,0.181276756,0.239904279,0.040099783,0.183811961,0.025204078,0.829,0.155,0.017,0.329703143,0.666917271
1059,0.089815171,0.071541576,0.12498489,0.498904676,0.040168514,0.142,0.382,0.476,0.174585174,0.420886986
1060,0.239478948,0.097198766,0.103214708,0.25375003,0.049811103,0.78,0.179,0.04,0.256546445,0.667982294
1061,0.121664492,0.074951287,0.167129122,0.402252323,0.108675985,0.244,0.461,0.295,0.125326792,0.299948278
1062,0.178029126,0.171107981,0.169673089,0.207053568,0.092159631,0.273,0.426,0.301,0.181976604,0.598269366
1063,0.15144489,0.024355372,0.097492458,0.173916068,0.163636145,0.632,0.283,0.085,0.389155067,0.487873102
1064,0.192173219,0.037132857,0.193539749,0.159775276,0.280258484,0.475,0.213,0.312,0.137120415,0.461064257
1065,0.262751855,0.098656566,0.175787077,0.178341027,0.134789868,0.533,0.319,0.148,0.149673607,0.580845332
1066,0.220614728,0.255888598,0.092772399,0.218979973,0.031355399,0.857,0.127,0.016,0.180388903,0.65922174
1067,0.111980862,0.04893106,0.277624753,0.191763901,0.254760475,0.504,0.298,0.199,0.114938949,0.398965449
1068,0.494502869,0.063219236,0.036064451,0.163194401,0.035634617,0.917,0.076,0.008,0.207384426,0.645574304
1069,0.427959619,0.133505075,0.114738404,0.147330004,0.033752205,0.79,0.158,0.052,0.142714693,0.560009596
1070,0.24253367,0.147720033,0.140827381,0.216966347,0.043063666,0.747,0.197,0.056,0.208888903,0.671181559
1071,0.293905844,0.07596136,0.114533945,0.182120293,0.086625258,0.574,0.362,0.064,0.246853301,0.671045877
1072,0.141627673,0.033489721,0.141047356,0.358320992,0.140118429,0.146,0.692,0.162,0.185395829,0.552479451
1073,0.183321289,0.034666858,0.316883074,0.14351295,0.233029702,0.102,0.546,0.352,0.088586128,0.298762695
1074,0.273144061,0.06490504,0.110849892,0.272180957,0.104800448,0.5,0.393,0.107,0.174119603,0.598579661
1075,0.118580093,0.085440905,0.270852138,0.231103955,0.187866546,0.099,0.473,0.429,0.106156362,0.407725915
1076,0.145933531,0.072994488,0.164631015,0.098911986,0.343175425,0.335,0.381,0.284,0.174353555,0.219495216
1077,0.448492877,0.093615894,0.115466509,0.125175889,0.090174848,0.679,0.26,0.06,0.127073983,0.518365572
1078,0.261277509,0.075427056,0.138343341,0.254385584,0.086121342,0.29,0.466,0.244,0.184445168,0.485195322
1079,0.68690758,0.035526703,0.022218719,0.09964669,0.010119161,0.986,0.013,0.001,0.145581146,0.649671848
1080,0.278402387,0.054695105,0.147313894,0.182198618,0.151817451,0.614,0.259,0.128,0.185572546,0.540867832
1081,0.200408046,0.053023289,0.155544566,0.207196904,0.107845957,0.332,0.516,0.152,0.275981238,0.687902912
1082,0.175123722,0.098405533,0.254101872,0.197216722,0.133623546,0.342,0.469,0.189,0.141528606,0.465660031
1083,0.508225507,0.098015927,0.040716981,0.109789705,0.033547749,0.928,0.066,0.006,0.209704131,0.711999603
1084,0.223258474,0.280421639,0.15403427,0.172225783,0.080659327,0.732,0.209,0.059,0.089400506,0.556128296
1085,0.344889674,0.065055123,0.099140299,0.209099927,0.056374514,0.906,0.076,0.018,0.225440465,0.572097566
1086,0.3353882,0.063961184,0.14561165,0.143596063,0.229624849,0.628,0.263,0.109,0.081818054,0.424690698
1087,0.179848714,0.151383405,0.169181543,0.214389765,0.115562453,0.233,0.529,0.238,0.16963412,0.516995202
1088,0.083923886,0.065234125,0.0729395,0.455878967,0.048081585,0.281,0.657,0.062,0.273941938,0.652482608
1089,0.11755911,0.128285972,0.181709182,0.118502283,0.242124093,0.544,0.322,0.135,0.211819361,0.339683321
1090,0.15566564,0.118680974,0.180807098,0.234818892,0.086917424,0.207,0.609,0.185,0.223109972,0.633801882
1091,0.213387379,0.02101434,0.150482095,0.259558868,0.17420662,0.684,0.275,0.042,0.181350698,0.246278844
1092,0.588895076,0.120904924,0.02254007,0.073692692,0.029685279,0.978,0.02,0.003,0.164281959,0.549415936
1093,0.247868133,0.120794541,0.158356453,0.193466377,0.080951987,0.627,0.308,0.065,0.19856251,0.574443133
1094,0.200753611,0.026732317,0.337697382,0.104307323,0.291524044,0.229,0.483,0.288,0.038985324,0.238700659
1095,0.203884782,0.129427341,0.16204911,0.160617905,0.154149031,0.499,0.262,0.239,0.189871832,0.600430795
1096,0.617320043,0.032043085,0.039883037,0.09920184,0.038099843,0.92,0.068,0.013,0.173452153,0.627012655
1097,0.378554431,0.112988714,0.076382564,0.175397054,0.063598112,0.622,0.268,0.11,0.193079125,0.673136132
1098,0.233588328,0.120160877,0.233011368,0.120051169,0.19141298,0.715,0.172,0.113,0.101775279,0.561691698
1099,0.240656376,0.159508974,0.124013861,0.219433251,0.040798627,0.832,0.117,0.052,0.215588911,0.605297862
1100,0.389022031,0.040608178,0.075939217,0.19954228,0.117902523,0.409,0.472,0.119,0.176985772,0.645140369
1101,0.544136743,0.147285942,0.035649754,0.126605495,0.029711634,0.96,0.036,0.004,0.116610432,0.551512119
1102,0.084974542,0.027602185,0.197195369,0.207291456,0.363566792,0.338,0.516,0.146,0.119369655,0.650410091
1103,0.18019468,0.039943298,0.217866964,0.14853752,0.265000343,0.384,0.313,0.303,0.148457194,0.455451637
1104,0.255377049,0.130882641,0.116443107,0.175135201,0.099831344,0.516,0.345,0.139,0.222330658,0.693732924
1105,0.429852205,0.061002377,0.10229354,0.152195869,0.080098219,0.672,0.267,0.061,0.17455779,0.60323517
1106,0.231973879,0.185622121,0.129022946,0.145648474,0.175812835,0.86,0.08,0.06,0.131919745,0.406579659
1107,0.148384103,0.015768546,0.3744961,0.079052194,0.3573765,0.11,0.304,0.586,0.024922557,0.190117967
1108,0.566898857,0.072619766,0.019793323,0.114666868,0.007125285,0.952,0.041,0.007,0.218895901,0.602343654
1109,0.399678142,0.019890683,0.107769387,0.091925356,0.123812845,0.881,0.098,0.021,0.256923588,0.416146725
1110,0.305506544,0.132111819,0.133565224,0.155371211,0.094701469,0.62,0.303,0.077,0.178743732,0.69304592
1111,0.328405252,0.198229269,0.089736148,0.074408248,0.249788641,0.715,0.201,0.084,0.059432442,0.454860351
1112,0.186010496,0.021604041,0.279344821,0.048007266,0.427788223,0.147,0.207,0.646,0.037245152,0.099668429
1113,0.472935752,0.017741153,0.094663315,0.136391121,0.055563466,0.842,0.117,0.041,0.222705192,0.582856485
1114,0.550354656,0.117074013,0.033403455,0.091324727,0.022485409,0.934,0.062,0.004,0.18535774,0.607045641
1115,0.27938617,0.225630063,0.093301729,0.167447889,0.093998296,0.266,0.35,0.384,0.140235855,0.631963859
1116,0.164649444,0.042802668,0.27277793,0.275666715,0.120904005,0.169,0.374,0.457,0.123199239,0.456006184
1117,0.421952532,0.076659033,0.061579306,0.162442906,0.032889115,0.919,0.064,0.017,0.24447711,0.532629028
1118,0.587455623,0.123231485,0.04126511,0.088794274,0.060580682,0.898,0.09,0.012,0.098672826,0.550469388
1119,0.180718855,0.216610954,0.061091086,0.194324574,0.050832577,0.927,0.068,0.005,0.296421954,0.762553116
1120,0.066333715,0.006751728,0.021944664,0.125401912,0.069670878,0.786,0.168,0.046,0.709897103,0.137158899
1121,0.317399383,0.107120659,0.161600964,0.196141977,0.076397577,0.847,0.112,0.041,0.14133944,0.517782192
1122,0.287589346,0.064984369,0.138319845,0.176586817,0.150792434,0.722,0.23,0.048,0.181727189,0.567457026
1123,0.231848157,0.026830101,0.49089819,0.081377755,0.130642921,0.292,0.373,0.335,0.038402876,0.345230904
1124,0.202593823,0.125280309,0.151204107,0.197535848,0.144582476,0.19,0.609,0.202,0.178803438,0.556136246
1125,0.368684068,0.043795948,0.116609399,0.208882671,0.069247274,0.828,0.111,0.061,0.19278064,0.47815102
1126,0.200521601,0.071896279,0.210398759,0.215181033,0.158302081,0.256,0.554,0.19,0.143700246,0.451596886
1127,0.145534798,0,0.215006414,0.156026119,0.203452653,0.245,0.524,0.231,0.279980016,0.291934205
1128,0.422832503,0.025951036,0.137699956,0.141080861,0.100565529,0.444,0.409,0.147,0.171870116,0.443143135
1129,0.507414092,0.040736329,0.074546041,0.175961827,0.048830238,0.878,0.098,0.024,0.152511474,0.45482835
1130,0.176881132,0.045322285,0.290867047,0.165392707,0.216197421,0.151,0.494,0.355,0.105339409,0.612046039
1131,0.399041549,0.154095906,0.043241022,0.127321023,0.020688184,0.814,0.168,0.018,0.255612316,0.647332664
1132,0.446341495,0.223943237,0.080372965,0.078733607,0.083403179,0.795,0.15,0.056,0.087205517,0.515471738
1133,0.116454354,0.067130034,0.098911545,0.326270778,0.020843463,0.38,0.513,0.108,0.370389826,0.712502041
1134,0.261153696,0.161330255,0.108570657,0.244679465,0.045739676,0.85,0.126,0.025,0.178526251,0.63950514
1135,0.674822523,0.08143555,0.084741744,0.058236726,0.035578024,0.923,0.053,0.024,0.065185433,0.417650419
1136,0.184130773,0.09721041,0.137310219,0.226590521,0.082068342,0.608,0.316,0.076,0.272689735,0.598180737
1137,0.453609437,0.188199692,0.028593266,0.110902404,0.018351469,0.968,0.029,0.003,0.200343732,0.725077379
1138,0.514075093,0.052983781,0.08450001,0.128952065,0.097778676,0.82,0.145,0.035,0.121710375,0.500642423
1139,0.154989777,0.217005462,0.139873958,0.308896927,0.066817843,0.587,0.341,0.071,0.112416033,0.614187199
1140,0.284391022,0.101942354,0.092129878,0.112034926,0.230314913,0.881,0.079,0.04,0.179186907,0.334071352
1141,0.122368798,0.20217393,0.201198154,0.255179311,0.073009402,0.335,0.397,0.269,0.146070406,0.518465025
1142,0.089730099,0.038101722,0.13854972,0.248786963,0.139437444,0.784,0.203,0.013,0.345394053,0.582412739
1143,0.744327523,0.031373682,0.037913998,0.088609302,0.030500123,0.935,0.056,0.009,0.067275373,0.354094668
1144,0.312449307,0.04661052,0.138598049,0.203502037,0.081203172,0.471,0.382,0.147,0.217636916,0.638287793
1145,0.214822984,0.263335249,0.061458986,0.216539182,0.023930872,0.726,0.227,0.047,0.219912728,0.7639328
1146,0.324375916,0.112025332,0.119883059,0.145115841,0.124391626,0.608,0.227,0.165,0.174208226,0.645232448
1147,0.595297917,0.039253867,0.080803659,0.141974256,0.031863239,0.816,0.124,0.061,0.110807062,0.330167425
1148,0.156463403,0.054045149,0.286174251,0.263227518,0.127731384,0.247,0.439,0.314,0.112358296,0.447781583
1149,0.427574754,0.152044574,0.051022554,0.123677795,0.02575093,0.882,0.081,0.038,0.219929393,0.687185828
1150,0.320518225,0.041600496,0.06054343,0.175971059,0.052992835,0.818,0.142,0.04,0.348373956,0.594584167
1151,0.149651685,0.033572625,0.266626935,0.224004736,0.207147302,0.133,0.333,0.534,0.118996717,0.452329829
1152,0.437886775,0.025753054,0.19158723,0.072967362,0.195740677,0.843,0.122,0.035,0.076064901,0.572009698
1153,0.625075193,0.096642926,0.024584151,0.122206134,0.02521876,0.885,0.101,0.014,0.106272836,0.548564143
1154,0.114652132,0.078174028,0.139039105,0.414048437,0.050804094,0.334,0.635,0.031,0.203282204,0.58532302
1155,0.115057144,0.170173729,0.203067294,0.208959827,0.167885322,0.185,0.452,0.363,0.134856684,0.52536144
1156,0.405994794,0.073657027,0.062776754,0.128312862,0.054245895,0.793,0.166,0.042,0.275012668,0.694748271
1157,0.270268467,0.076129645,0.207291773,0.164897145,0.139775481,0.508,0.335,0.157,0.14163749,0.474663094
1158,0.215072281,0.194814629,0.15276401,0.156546403,0.175724401,0.322,0.511,0.168,0.105078275,0.467566813
1159,0.42744126,0.039043961,0.171343891,0.162156736,0.10066952,0.308,0.604,0.088,0.099344633,0.551004379
1160,0.214991416,0.213045012,0.116161732,0.175202623,0.090543939,0.647,0.254,0.099,0.190055278,0.622324187
1161,0.266659548,0.047730532,0.135388411,0.249470199,0.093933126,0.282,0.4,0.318,0.206818185,0.711371197
1162,0.15289219,0.071573534,0.184371652,0.198517307,0.260748391,0.681,0.228,0.091,0.131896927,0.696747012
1163,0.060678505,0.017197092,0.129987311,0.493469481,0.135934067,0.228,0.744,0.028,0.162733544,0.477258089
1164,0.377858543,0.050169697,0.184003396,0.149366476,0.088467532,0.885,0.11,0.005,0.150134357,0.506840644
1165,0.250994174,0.09156609,0.169747695,0.185175671,0.128520323,0.464,0.3,0.235,0.173996048,0.540070183
1166,0.133138291,0.204573248,0.124276703,0.179033628,0.25360323,0.545,0.296,0.159,0.1053749,0.655588048
1167,0.441318615,0.078104493,0.135384936,0.09165136,0.135990157,0.731,0.138,0.131,0.117550439,0.464139666
1168,0.333728071,0.148028635,0.089562722,0.155683967,0.05702582,0.855,0.124,0.021,0.215970786,0.61917018
1169,0.51532956,0.118647356,0.081472802,0.087327291,0.059612738,0.894,0.086,0.02,0.137610253,0.568653175
